row_id,pid,condition_id,style,decel,bus,density,wait_ehmi_duration,cross_ehmi_duration,crossing_status,crossing_delay,crossing_time,safety_margin,q1,q2,q3,early_traffic,early_window,success_flag,trial_order_raw,trial_order_c,paired_default_removed,normal_complete,raw_style,raw_delay,raw_status,wait_raw_any,cross_raw_any,wait_ehmi_any,cross_ehmi_any
384,13,2,3,1,0,0,0,,1,1.07,2.560982,2.143026,7,7,7,0,0,1,13,-4.5,0,1,3,1.07,1,0,0,0,0
385,13,3,4,1,0,0,,,,,,,,,,1,0,,24,6.5,0,0,4,-5.02,1,0,0,,
386,13,4,1,0,0,0,,,0,,,,,,,0,0,0,10,-7.5,0,0,1,5.39,0,0,0,,
387,13,5,2,0,0,0,0,,1,0.91,2.508894,0.5111455,7,7,7,0,0,1,20,2.5,0,1,2,0.91,1,0,0,0,0
388,13,6,3,0,0,0,0,,1,1.22,2.398696,0.3503819,7,7,7,0,0,1,21,3.5,0,1,3,1.22,1,0,0,0,0
389,13,7,4,0,0,0,0,,1,1.28,2.317874,0.3622928,6,6,7,0,0,1,4,-13.5,0,1,4,1.28,1,0,0,0,0
390,13,8,1,1,1,0,,,1,2.3,2.405068,0.951501,5,,,0,0,1,30,12.5,0,1,1,2.3,1,0,0,,
391,13,9,2,1,1,0,,,,,,,,,,1,0,,28,10.5,0,0,2,-2.9,1,0,0,,
392,13,10,3,1,1,0,,0,1,,2.557967,3.398149,6,7,7,0,1,1,29,11.5,0,1,3,-0.28,1,0,0,0,0
393,13,11,4,1,1,0,,,,,,,,,,1,0,,18,0.5,0,0,4,-2.76,1,0,0,,
394,13,12,1,0,1,0,,,1,,2.343174,1.268491,4,,,0,1,1,31,13.5,0,1,1,-0.18,1,0,0,,
395,13,13,2,0,1,0,0,,1,0.87,2.600166,0.4754897,7,7,7,0,0,1,11,-6.5,0,1,2,0.87,1,0,0,0,0
396,13,14,3,0,1,0,,,1,,2.242127,1.294758,6,7,6,0,1,1,32,14.5,0,1,3,-0.04,1,0,0,0,0
397,13,15,4,0,1,0,0,,1,1.22,2.289993,0.439207,5,5,5,0,0,1,2,-15.5,0,1,4,1.22,1,0,0,0,0
398,13,16,1,1,0,1,,,1,0.42,2.34184,2.889258,7,,,0,0,1,8,-9.5,0,1,1,0.42,1,0,0,,
399,13,17,2,1,0,1,0,,1,1.02,2.461766,2.2301,7,7,7,0,0,1,19,1.5,0,1,2,1.02,1,0,0,0,0
400,13,18,3,1,0,1,0,,1,1.07,2.439606,2.223969,7,7,6,0,0,1,16,-1.5,0,1,3,1.07,1,0,0,0,0
401,13,19,4,1,0,1,0,,1,0.96,2.631833,2.200608,7,7,6,0,0,1,6,-11.5,0,1,4,0.96,1,0,0,0,0
402,13,20,1,0,0,1,,,0,,,,,,,0,1,0,17,-0.5,0,0,1,0,0,0,0,,
403,13,21,2,0,0,1,0,,1,0.67,2.511802,0.6677005,7,7,7,0,0,1,26,8.5,0,1,2,0.67,1,0,0,0,0
