被试编号,实验条件,eHMI样式,紧急程度,追赶公交车,车流密度,环境照度,注视次数eHMI1,eHMI2,eHMI3,eHMI,车辆,总,注视时长eHMI1,eHMI2,eHMI3,eHMI,车辆,总,首次注视,穿越过程注视次数eHMI1,eHMI2,eHMI3,eHMI,车辆,总,穿越过程注视时长eHMI1,eHMI2,eHMI3,eHMI,车辆,总,首次注视,瞳孔最大,瞳孔平均,瞳孔差值,穿越过程瞳孔最大,穿越过程瞳孔平均,穿越过程瞳孔差值,穿越状态,穿越延误,穿越时间,安全边际,安全距离,Q1,Q2,Q3
1,16,1,1,False,High,Clear,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.704437,2.563492,0.1409454,3.639015,3.091723,0.4620955,1,0.09,2.683095,2.920368,8.118623,7,1,1
1,27,4,1,True,High,Clear,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,0.2030949,0.0204306,0,0.2235255,0.4115639,0.6350894,1.117198,3.611252,3.467762,0.1434901,4.200562,3.528285,0.6136303,1,0.13,2.732952,3.049952,8.478868,7,7,5
1,13,2,2,True,Low,Clear,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,3,4,7,0.1362515,0.3510069,0,0.4872584,0.6225969,1.109855,1.758471,3.263496,3.129786,0.1337101,3.774651,3.2193,0.4978292,1,0.68,2.643162,0.5749243,2.049775,4,5,7
1,10,3,1,True,Low,Clear,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.047554,3.578654,0.4645498,1,-4.54,1.611716,5.479279,45.66047,7,1,1
1,30,3,2,True,High,Clear,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0824525,0,0.0824525,0.1077471,0.1901996,0,3.241814,3.219355,0.02245879,3.635681,3.10405,0.5612152,1,0.04,2.588281,1.065381,4.957535,7,7,7
2,0,1,1,False,Low,Clear,0,0,0,0,2,2,0.6930422,1.063768,0,1.75681,0.2650675,2.021878,0,0,4,0,4,2,6,0,0.2894632,0,0.2894632,0.2883514,0.5778146,0.6904167,4.185822,3.892228,0.2714553,4.277962,3.901012,0.4423952,1,2.26,2.163867,1.15722,3.217072,1,1,1
2,18,3,1,False,High,Clear,2,0,0,2,2,4,0.2855881,0.206597,0,0.4921851,0.240585,0.7327701,0.7352847,4,0,0,4,2,6,0.4861928,0.1999041,0,0.6860969,0.165292,0.8513889,0.6656439,3.831657,3.606635,0.4696946,4.09977,3.727234,0.3957429,1,1.38,2.493739,1.80826,5.026963,5,6,5
2,7,4,2,False,Low,Clear,0,2,0,2,2,4,0.1767954,0.755403,0,0.9321984,0.2333413,1.16554,0.9826899,0,3,0,3,3,6,0.0666142,0.5565116,0,0.6231259,0.2445096,0.8676355,0,3.600975,3.498663,0.08275676,3.910233,3.652029,0.1885021,1,1.12,2.676066,0.2260584,0.6540533,3,3,5
2,24,1,1,True,High,Clear,1,3,0,4,0,4,0.6179034,0.845364,0,1.463267,0.0857557,1.549023,0.0684496,0,0,0,0,2,2,0,0,0,0,0.5081327,0.5081327,0,3.962456,3.696566,0.1248527,4.316818,3.85483,0.3244615,1,1.64,2.388681,1.679762,4.669739,1,1,1
2,29,2,2,True,High,Clear,2,0,0,2,0,2,0.4649501,0,0,0.4649501,0.3572477,0.8221978,0.0699351,1,5,0,6,0,6,0.5043201,0.3862429,0,0.890563,0.1990497,1.089613,0,4.01442,3.865313,0.1491063,3.916855,3.60774,0.3320668,1,0.78,2.276077,0.7252852,2.841156,4,3,4
2,5,2,2,False,Low,Clear,0,0,0,0,2,2,0.3892096,0.1365554,0,0.525765,0.153498,0.679263,0,2,3,0,5,1,6,0.445164,0.270422,0,0.7155859,0.250002,0.965588,0.7429951,4.357292,3.996307,0.3609848,4.111221,3.757272,0.4262941,1,0.85,2.294025,0.7030189,2.641449,3,4,5
2,11,4,1,True,Low,Clear,0,2,0,2,0,2,0.7339736,0.2229035,0,0.9568771,0.1783173,1.135194,0.0669891,3,6,0,9,0,9,0.5566432,0.262658,0,0.8193012,0.046323,0.8656242,0,3.970993,3.81856,0.2920628,3.846039,3.560041,0.3140075,1,1.07,2.530083,2.005142,5.574296,5,6,6
2,15,4,2,True,Low,Clear,2,0,0,2,0,2,0.6204168,0,0,0.6204168,0.0223511,0.6427679,0.1105974,0,6,0,6,3,9,0,0.4760623,0,0.4760623,0.4101133,0.8861756,0,4.120964,4.012342,0.1086216,3.986954,3.645249,0.3516281,1,0.55,2.310725,0.8270534,3.451539,3,6,5
2,23,4,2,False,High,Clear,0,0,0,0,2,2,0.0628992,0.7586165,0,0.8215157,0.269738,1.091254,0,0,1,0,1,0,1,0.0411544,0.1463659,0,0.1875203,0.371393,0.5589132,0,3.940811,3.78517,0.1600161,3.924522,3.575313,0.3258858,1,1.22,2.02563,0.5095214,1.718766,5,6,6
2,6,3,2,False,Low,Clear,0,0,0,0,2,2,0.1116224,0.2231752,0,0.3347976,0.512544,0.8473415,0,0,2,0,2,0,2,0.0388029,0.1854887,0,0.2242916,0.2438624,0.468154,0.5156284,3.975395,3.747025,0.3120308,4.035927,3.681852,0.4204369,1,1.11,2.031988,0.7345233,2.783326,3,6,5
2,16,1,1,False,High,Clear,0,0,0,0,2,2,0.1207325,0.0202161,0,0.1409486,0.616933,0.7578816,0,2,1,0,3,1,4,0.1951079,0.1646922,0,0.3598001,0.1817285,0.5415286,0.4677905,3.823502,3.571552,0.2580657,3.891121,3.562923,0.5953436,1,1.90,2.242519,1.450699,4.032944,2,1,1
2,13,2,2,True,Low,Clear,1,1,0,2,0,2,0.3376917,0.2655407,0,0.6032324,0.0676697,0.6709021,0.1105289,4,0,0,4,0,4,0.307015,0.0214044,0,0.3284194,0.0898957,0.4183151,0.7009526,4.25116,4.0599,0.1912594,4.068466,3.629238,0.3272274,1,0.82,1.952546,0.8058097,3.31131,3,2,3
2,17,2,1,False,High,Clear,2,0,0,2,1,3,0.0444325,0.0696232,0,0.1140557,0.4864038,0.6004595,0.222386,0,0,0,0,1,1,0.09979589,0.0190731,0,0.118869,0.2176676,0.3365366,0,3.962036,3.509074,0.0875206,4.192558,3.821267,0.3518531,1,0.97,2.134051,2.476057,6.883439,3,3,3
2,9,2,1,True,Low,Clear,0,1,0,1,1,2,0,0.2661318,0,0.2661318,0.2455808,0.5117127,0.895132,2,0,0,2,2,4,0.1812927,0.0638064,0,0.2450991,0.1932737,0.4383728,0.8740061,4.245842,3.955708,0.2901337,4.211044,3.841354,0.410501,1,0.55,2.233944,2.783165,7.737198,6,3,5
2,30,3,2,True,High,Clear,2,0,0,2,0,2,0.3545248,0.1104972,0,0.465022,0.0231871,0.4882091,0.2233583,0,0,0,0,1,1,0,0.1068781,0,0.1068781,0.1666677,0.2735458,0,4.146431,3.82269,0.3237405,4.281555,3.896708,0.6942232,1,0.78,2.121872,0.7902623,3.247422,3,6,5
2,25,2,1,True,High,Clear,0,0,0,0,2,2,0,0.0710611,0,0.0710611,0.4388598,0.509921,0,0,2,0,2,0,2,0,0.103633,0,0.103633,0.060366,0.163999,0.8401234,4.123032,3.652106,0.470926,4.178253,3.96911,0.2387447,1,0.80,2.099342,2.699269,7.503968,5,3,5
2,8,1,1,True,Low,Clear,2,2,0,4,2,6,0.7360528,0.5336466,0,1.269699,0.7241738,1.993873,0.08912219,0,0,0,0,0,0,0,0,0,0,0,0,0,3.97023,3.758013,0.1610332,3.876633,3.586972,0.3417528,1,2.01,2.204924,1.438734,3.99968,3,1,1
2,3,4,1,False,Low,Clear,0,3,0,3,2,5,0,0.7072707,0,0.7072707,0.1371108,0.8443816,1.021455,1,2,0,3,0,3,0.5420151,0.1886062,0,0.7306213,0.1816823,0.9123036,1.655985,3.978462,3.794784,0.4224405,4.182419,3.762536,0.2403231,1,1.26,2.311709,2.146006,5.965897,5,6,6
2,19,4,1,False,High,Clear,2,1,0,3,2,5,0.1761244,0.1347625,0,0.3108869,0.2213664,0.5322533,0.8101254,2,0,0,2,2,4,0.2610786,0.0608655,0,0.3219441,0.2063091,0.5282532,0.7106481,3.878777,3.638609,0.4862125,3.950745,3.569992,0.454509,1,1.34,2.235887,2.133904,5.932251,5,7,7
2,21,2,2,False,High,Clear,0,2,0,2,0,2,0,0.5838543,0,0.5838543,0.1688327,0.752687,0.1041181,1,1,0,2,0,2,0.0697726,0.1475373,0,0.2173099,0.2118295,0.4291394,0.3518679,3.884567,3.651213,0.3280706,3.890343,3.628924,0.2054176,1,1.07,2.025174,0.6516072,2.469132,4,3,5
2,31,4,2,True,High,Clear,0,0,0,0,4,4,0.0652499,0.0463363,0,0.1115862,0.3552551,0.4668413,0,2,0,0,2,0,2,0.1701897,0.1403666,0,0.3105563,0.1581566,0.4687129,0.4356962,3.956108,3.683942,0.1454773,4.000793,3.754731,0.1669044,1,0.96,1.769433,0.8326622,3.474946,5,5,5
2,22,3,2,False,High,Clear,0,0,0,0,4,4,0.0449068,0.0880588,0,0.1329656,0.6013249,0.7342905,0,0,2,0,2,0,2,0,0.2004094,0,0.2004094,0.2526933,0.4531027,0.5132974,4.04071,3.741797,0.4894364,4.011467,3.743908,0.4321632,1,1.13,1.793822,0.7434247,2.959794,2,6,5
2,10,3,1,True,Low,Clear,0,2,0,2,0,2,0,0.2665146,0,0.2665146,0.2003051,0.4668197,0.5997994,0,1,0,1,1,2,0,0.1376334,0,0.1376334,0.2272221,0.3648555,0.543171,4.06266,3.709551,0.7274189,4.174118,3.824046,0.4174986,1,1.24,1.889813,2.428898,6.752335,7,6,5
2,14,3,2,True,Low,Clear,0,2,0,2,0,2,0,0.6209644,0,0.6209644,0.0252836,0.646248,0.0666133,1,0,0,1,1,2,0.0416221,0.1108038,0,0.1524259,0.2080226,0.3604485,0.4512737,4.07341,3.895171,0.338757,4.114273,3.712258,0.420877,1,1.07,1.862733,0.7216783,2.827027,4,6,5
2,27,4,1,True,High,Clear,0,0,0,0,2,2,0.3358013,0.1147195,0,0.4505208,0.2600616,0.7105824,0,1,3,0,4,1,5,0.1482488,0.1532847,0,0.3015335,0.2703735,0.571907,0.4943782,3.992027,3.681811,0.5935669,3.896111,3.636018,0.1494901,1,1.11,2.056115,2.550243,7.089676,4,5,6
2,2,3,1,False,Low,Clear,0,2,0,2,4,6,0,0.4057881,0,0.4057881,0.3085599,0.714348,0.2443898,2,0,0,2,1,3,0.1668501,0.1379907,0,0.3048408,0.3091869,0.6140277,0.436179,4.015251,3.805468,0.3723977,4.056229,3.642332,0.3676856,1,1.31,2.053957,2.298034,6.388535,5,6,5
2,20,1,2,False,High,Clear,4,1,0,5,13,18,0.8428475,0.1348582,0,0.9777057,1.448861,2.426566,0.1117304,0,0,0,0,0,0,0,0,0,0,0,0,0,4.307968,4.052471,0.2198825,0,0,0,0,0.00,0,0,0,2,1,1
2,26,3,1,True,High,Clear,0,2,0,2,2,4,0.0231028,0.1559445,0,0.1790473,0.5317,0.7107473,0.5773546,0,1,0,1,0,1,0.1014132,0.0839024,0,0.1853156,0,0.1853156,0.845966,4.195259,4.030738,0.2801349,4.277061,3.887355,0.3418682,1,1.07,1.830868,2.59793,7.222245,5,6,5
2,4,1,2,False,Low,Clear,0,2,0,2,19,21,0.0223589,0.1564454,0,0.1788043,3.344263,3.523067,0.06764629,0,0,0,0,0,0,0,0,0,0,0,0,0,4.062233,3.772394,0.2779057,0,0,0,0,0.00,0,0,0,5,1,1
2,28,1,2,True,High,Clear,3,0,0,3,10,13,0.2667687,0.0654858,0,0.3322545,1.941116,2.273371,1.633776,0,0,0,0,0,0,0,0,0,0,0,0,0,4.267296,4.029774,0.261302,0,0,0,0,0.00,0,0,0,3,1,1
2,12,1,2,True,Low,Clear,0,0,0,0,19,19,0,0.023125,0,0.023125,2.666413,2.689538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.939941,3.744036,0.1998711,0,0,0,0,0.00,0,0,0,5,1,1
2,1,2,1,False,Low,Clear,0,2,0,2,0,2,0,0.6871085,0,0.6871085,0.1346935,0.821802,0.1814103,0,0,0,0,0,0,0,0,0,0,0,0,0,3.877609,3.739385,0.1852214,3.966713,3.581594,0.2813966,1,1.02,2.335173,2.279861,6.338013,3,3,5
3,14,3,2,True,Low,Clear,0,0,0,0,2,2,0.0221536,0,0,0.0221536,0.2694735,0.2916271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.299507,4.013024,0.2401099,4.301941,3.949662,0.4478831,1,1.32,2.097266,0.4345913,1.39647,4,6,6
3,5,2,2,False,Low,Clear,2,0,0,2,9,11,0,0,0,0,1.580721,1.580721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.627838,3.764501,0.863337,0,0,0,0,0.00,0,0,0,1,7,5
3,11,4,1,True,Low,Clear,2,0,0,2,0,2,0.3785297,0.0682175,0,0.4467472,0,0.4467472,0.424684,0,0,0,0,0,0,0,0,0,0,0,0,0,4.037788,3.852587,0.2176526,4.033257,3.764131,0.3318083,1,1.31,2.046994,2.270475,6.311921,6,6,7
3,17,2,1,False,High,Clear,0,0,0,0,3,3,0,0.0414137,0,0.0414137,0.5481795,0.5895932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.108757,3.90888,0.1641307,4.02964,3.551889,0.5456023,1,1.35,2.037071,2.229836,6.198945,6,7,7
3,25,2,1,True,High,Clear,0,0,0,0,2,2,0,0.0219657,0,0.0219657,0.3547045,0.3766702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.189491,3.924057,0.1523175,3.922844,3.535776,0.4224253,1,1.20,2.108123,2.357022,6.552521,5,7,7
3,22,3,2,False,High,Clear,6,0,0,6,10,16,0.8694991,0.0432935,0,0.9127926,2.330237,3.24303,1.754695,0,0,0,0,0,0,0,0,0,0,0,0,0,4.098442,3.786817,0.3075609,0,0,0,0,0.00,0,0,0,2,7,5
3,7,4,2,False,Low,Clear,0,0,0,0,4,4,0,0,0,0,0.4192056,0.4192056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.257576,3.95436,0.1684384,4.366829,4.002957,0.5176435,1,1.57,2.093068,0.20419,0.5777135,2,7,4
3,18,3,1,False,High,Clear,1,0,0,1,3,4,0.0670032,0,0,0.0670032,0.2994652,0.3664684,0.799571,0,0,0,0,0,0,0,0,0,0,0,0,0,4.212784,4.020895,0.1964426,3.930145,3.405128,0.7261224,1,1.39,2.082299,2.185037,6.074402,5,7,7
3,13,2,2,True,Low,Clear,0,0,0,0,2,2,0.0649999,0,0,0.0649999,0.4469952,0.5119951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.102394,3.915152,0.1937969,3.853966,3.422855,0.5836935,1,0.99,2.101886,0.7210792,2.801606,6,7,7
3,19,4,1,False,High,Clear,0,0,0,0,4,4,0.0436327,0,0,0.0436327,0.4656575,0.5092902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.795181,3.469189,0.273442,3.644676,3.212251,0.651886,1,1.62,2.07685,1.983034,5.512833,5,7,7
3,8,1,1,True,Low,Clear,0,0,0,0,8,8,0.04511,0.0232326,0,0.0683426,1.542798,1.61114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.255852,3.931613,0.2652256,4.305817,3.607735,0.8734303,1,2.58,2.076939,0.9516876,2.645691,4,1,1
3,24,1,1,True,High,Clear,1,0,0,1,3,4,0.2923572,0.0407821,0,0.3331393,0.9032693,1.236409,0.7664751,0,0,0,0,0,0,0,0,0,0,0,0,0,4.121674,3.876601,0.1125531,4.26049,3.570002,0.8624282,1,1.66,2.099588,1.807717,5.025452,4,1,1
3,20,1,2,False,High,Clear,0,0,0,0,13,13,0.0219619,0,0,0.0219619,2.589106,2.611068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.094055,3.760492,0.3027208,0,0,0,0,0.00,0,0,0,3,1,1
3,29,2,2,True,High,Clear,0,0,0,0,4,4,0.0671095,0,0,0.0671095,0.2406559,0.3077654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.991058,3.855299,0.1357596,3.884346,3.36048,0.7207301,1,0.87,2.145787,0.7072386,2.770463,6,7,7
3,16,1,1,False,High,Clear,0,0,0,0,2,2,0,0,0,0,0.2228218,0.2228218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.162804,3.7836,0.3148992,4.029922,3.450652,0.717284,1,1.72,2.258514,1.715752,4.769791,5,1,1
3,27,4,1,True,High,Clear,0,0,0,0,0,0,0,0,0,0,0.0230217,0.0230217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.20388,3.782679,0.3340099,3.883499,3.29079,0.6700962,1,0.97,2.258419,2.465628,6.854447,5,7,6
3,4,1,2,False,Low,Clear,6,0,0,6,10,16,0.6237823,0.0219833,0,0.6457657,1.738872,2.384638,2.010947,0,0,0,0,0,0,0,0,0,0,0,0,0,4.146378,3.964644,0.1495941,0,0,0,0,0.00,0,0,0,2,1,1
3,15,4,2,True,Low,Clear,1,0,0,1,1,2,0.5099837,0,0,0.5099837,0.08871251,0.5986962,0.2272464,0,0,0,0,0,0,0,0,0,0,0,0,0,4.237869,3.612481,0.718071,4.015556,3.520476,0.6512749,1,1.03,2.130188,0.6564054,2.466309,4,7,7
